Index,Language,Family,Country
1,Abidji,Kwa,Ivory Coast
2,Agarabi,Trans-New Guinea,Papua New Guinea
3,Agta,Austronesian,Philippines
4,Aguacatec,Mayan,Guatemala
5,Amarakaeri,Arawakan,Peru
6,Ampeeli,Angan,Papua New Guinea
7,Amuzgo,Oto-Manguean,Mexico
8,Angaatiha,Angan,Papua New Guinea
9,Apinaye´,Macro-Ge,Brazil
10,Arabela,Zaparoan,Peru
11,Bahinemo,Sepik Hill,Papua New Guinea
12,Bauzi,Geelvink Bay,Indonesia
13,Berik,Trans-New Guinea,Indonesia (Irian Jaya)
14,Be´ te´,Kru,Ivory Coast
15,Bhili,Indic,India
16,Buglere,Chibchan,Panama
17,Cakchiquel,Mayan,Guatemala
18,Campa,Arawakan,Peru
19,Camsa,Camsa,Columbia
20,Candoshi,Jivaroan,Peru
21,Cavinen˜ a,Tacanan,Bolivia
22,Cayapa,Barbacoan-Paezan,Ecuador
23,Cha´ cobo,Panoan,Bolivia
24,Chavacano (Zamboanguen˜ o),creole,Philippines
25,Chayahuita,Chayahuita (Jivaroan?),Peru
26,Chinantec,Oto-Manguean,Mexico
27,Chiquitano,Macro-Ge,Bolivia
28,Chumburu,Chumburung,Ghana
29,Cofa´ n,Chibchan,Ecuador
30,Colorado,Barbacoan,Ecuador
31,Cree,Algonquian,Canada
32,Culina,Arauan,"Peru, Brazil"
33,Didinga,Nilo-Sarahan,Sudan
34,Djuka,creole,Surinam
35,Dyimini,Gur,Ivory Coast
36,Ejagam,Bantoid,"Nigeria, Cameroon"
37,Ese Ejja,Tacanan,Bolivia
38,Gar´ıfuna (Black Carib),creole,Guatemala
39,Guahibo,Arawakan,Colombia
40,Guambiano,Paezan,Columbia
41,Guarij´ıo,Uto-Aztecan,Mexico
42,Guaym´ı (Nga¨ bere),Chibchan,Panama
43,Gunu,Bantoid,Cameroon
44,Halbi,Indic,India
45,Huastec,Mayan,Mexico
46,Huave,Huavean,Mexico
47,Iduna,Oceanic,Papua New Guinea
48,Ifugao,Austronesian,Philippines
49,Iwam,Upper Sepik,Papua New Guinea
50,Jicaque,Jicaque,Honduras
51,Kalam,East New Guinea Highlands,Papua New Guinea
52,Kamano-Kafe,East New Guinea Highlands,Papua New Guinea
53,Karaja´,Macro-Ge,Brazil
54,Kemtuik,Nimboran,Indonesia (Irian Jaya)
55,Kokni (Kokoni),Indic,India
56,Konkomba,Gur,Ghana
57,Kriol,creole,Australia
58,Kuku-Yalanji,Pama-Nyungan,Australia
59,Kuna,"Cuna (?), Chibchan (?)",Panama
60,Kwerba,Dani-Kwerba,Indonesia (Irian Jaya)
61,Lele,East Chadic,Chad
62,Mampruli,Gur,Ghana
63,Maring,Trans-New Guinea,Papua New Guinea
64,Martu-Wangka,Martu-Wangka,Australia
65,Mawchi,Indic,India
66,Mayoruna,Panoan,Peru
67,Mazahua,Oto-Manguean,Mexico
68,Mazatec,Oto-Manguean,Mexico
69,Menye,Angan,Papua New Guinea
70,Micmac,Algonquian,Canada
71,Mikasuki,Muskogean,United States
72,Mixtec,Oto-Manguean,Mexico
73,Mundu,Adamawa-Ubangi,Sudan
74,Mu´ ra-Piraha´,Piraha´,Brazil
75,Murle,Nilo-Sarahan,Sudan
76,Murrinh-Patha,Murrinh-Patha,Australia
77,Nafaanra,Gur,Ghana
78,Nahuatl,Uto-Aztecan,Mexico
79,Ocaina,Witotoan,Peru
80,Papago (O’ odham),Uto-Aztecan,"United States, Mexico"
81,Patep,Austronesian,Papua New Guinea
82,Paya,Chibchan,Honduras
83,Podopa,Trans-New Guinea,Papua New Guinea
84,Saramaccan,creole,Surinam
85,Seri,Hokan,Mexico
86,Shipibo,Panoan,Peru
87,Siriono´,Tupi,Bolivia
88,Slave,Athabaskan,Canada
89,Sursurunga,Austronesian,Papua New Guinea
90,Tabla,Trans-New Guinea,Indonesia (Irian Jaya)
91,Tacana,Tacanan,Bolivia
92,Tarahumara (Central dialect),Uto-Aztecan,Mexico
93,Tarahumara (Western dialect),Uto-Aztecan,Mexico
94,Tboli,Austronesian,Philippines
95,Teribe,Chibchan,Panama
96,Ticuna,Ticuna,Peru
97,Tifal,Trans-New Guinea,Papua New Guinea
98,Tlapanec,Subtiaba-Tlapanec,Mexico
99,Tucano,Tucanoan,Colombia
100,Vagla,Gur,Ghana
101,Vasavi,Indic,India
102,"Waorani (Auca, Huao)",Waorani,Ecuador
103,Walpiri,Pama-Nyungan,Australia
104,Wobe´,Niger-Congo,Ivory Coast
105,Yacouba,Dan,Ivory Coast
106,Yakan,Austronesian,Philippines
107,Yaminahua,Panoan,Peru
108,Yucuna,Arawakan,Colombia
109,Yupik,Eskimo-Aleut,United States
110,Zapotec,Oto-Manguean,Mexico
